qo_lc[m3/d],qg_lc[m3/d],Date & Time
407.09,46802.10775386751,2018-04-24 04:08:00
380.32,38907.15325066734,2018-04-24 04:09:00
350.02,34971.813262214695,2018-04-24 04:10:00
339.14,33129.28529553252,2018-04-24 04:11:00
351.57,37515.05848127774,2018-04-24 04:12:00
311.62,32573.153362511264,2018-04-24 04:13:00
331.04,32811.52510261348,2018-04-24 04:14:00
334.29,37115.41386100461,2018-04-24 04:15:00
326.53,30645.8238390329,2018-04-24 04:16:00
308.16,29261.68919501638,2018-04-24 04:17:00
336.27,32422.556584906313,2018-04-24 04:18:00
356.72,37170.75832946209,2018-04-24 04:19:00
343.34,34047.6804770422,2018-04-24 04:20:00
368.71,36697.848366243416,2018-04-24 04:21:00
348.93,41563.53350342699,2018-04-24 04:22:00
318.08,32804.10735530721,2018-04-24 04:23:00
342.85,32512.87906322709,2018-04-24 04:24:00
285.69,28402.27255641592,2018-04-24 04:25:00
370.16,36784.464221271766,2018-04-24 04:26:00
356.45,32643.304035048735,2018-04-24 04:27:00
325.89,34624.98746522989,2018-04-24 04:28:00
328.82,42791.03233681524,2018-04-24 04:29:00
354.92,38320.34910591205,2018-04-24 04:30:00
353.22,34950.19077553381,2018-04-24 04:31:00
342.48,25975.900762702833,2018-04-24 04:32:00
313.34,29244.349797903724,2018-04-24 04:33:00
341.16,36413.99147160327,2018-04-24 04:34:00
313.06,33147.16026723076,2018-04-24 04:35:00
305.11,29204.921822646626,2018-04-24 04:36:00
323.86,31930.707029722034,2018-04-24 04:37:00
345.66,34807.610303873655,2018-04-24 04:38:00
326.01,28152.57153005249,2018-04-24 04:39:00
333.8,37292.30327256578,2018-04-24 04:40:00
351.77,37446.923279169285,2018-04-24 04:41:00
342.0,35284.98457727608,2018-04-24 04:42:00
320.13,27905.574473827928,2018-04-24 04:43:00
329.84,30332.216822255206,2018-04-24 04:44:00
299.55,32091.146775163368,2018-04-24 04:45:00
282.01,26578.93859022928,2018-04-24 04:46:00
351.96,35928.820230007506,2018-04-24 04:47:00
364.79,37373.39451482277,2018-04-24 04:48:00
301.86,43869.54520303035,2018-04-24 04:49:00
285.61,34352.10245909179,2018-04-24 04:50:00
316.43,32874.16551569261,2018-04-24 04:51:00
310.45,33996.627448884035,2018-04-24 04:52:00
334.58,33099.445783003524,2018-04-24 04:53:00
335.49,28669.029967425788,2018-04-24 04:54:00
363.85,37124.906813961126,2018-04-24 04:55:00
345.77,34148.0581687677,2018-04-24 04:56:00
331.12,34836.577527964895,2018-04-24 04:57:00
363.96,39555.15360058763,2018-04-24 04:58:00
341.11,38967.7500891761,2018-04-24 04:59:00
357.01,37968.734182559434,2018-04-24 05:00:00
316.16,29765.71889744228,2018-04-24 05:01:00
340.32,31261.335285993613,2018-04-24 05:02:00
334.23,36301.83744271117,2018-04-24 05:03:00
324.93,32452.975877002504,2018-04-24 05:04:00
325.34,33179.644801725866,2018-04-24 05:05:00
362.78,37275.235980940524,2018-04-24 05:06:00
358.12,45896.91367404156,2018-04-24 05:07:00
342.04,30523.881878071967,2018-04-24 05:08:00
336.65,40275.923553700275,2018-04-24 05:09:00
322.76,28115.016613642027,2018-04-24 05:10:00
313.94,29404.70472439305,2018-04-24 05:11:00
322.9,30371.581466586398,2018-04-24 05:12:00
277.11,30145.76332014012,2018-04-24 05:13:00
317.54,30264.09003986851,2018-04-24 05:14:00
355.32,43087.87019506962,2018-04-24 05:15:00
347.93,40846.61386985795,2018-04-24 05:16:00
294.05,44774.0903587389,2018-04-24 05:17:00
357.02,40660.046892864084,2018-04-24 05:18:00
334.75,27508.95960321988,2018-04-24 05:19:00
351.13,36656.899414896034,2018-04-24 05:20:00
358.01,33470.56863250097,2018-04-24 05:21:00
326.11,34593.29730648131,2018-04-24 05:22:00
294.28,31259.23488103563,2018-04-24 05:23:00
366.2,38611.43510034983,2018-04-24 05:24:00
292.33,30309.597918764946,2018-04-24 05:25:00
337.45,30382.303463214703,2018-04-24 05:26:00
319.85,36064.10597319074,2018-04-24 05:27:00
300.19,26285.64952795581,2018-04-24 05:28:00
308.8,37702.098155386375,2018-04-24 05:29:00
286.85,26630.617207620395,2018-04-24 05:30:00
310.53,34153.26091873193,2018-04-24 05:31:00
326.82,33622.147285279236,2018-04-24 05:32:00
327.17,30355.2953397468,2018-04-24 05:33:00
328.35,37496.532323288775,2018-04-24 05:34:00
349.96,33003.1295655171,2018-04-24 05:35:00
354.14,34044.88318139792,2018-04-24 05:36:00
302.69,29970.988714877487,2018-04-24 05:37:00
325.18,37508.99387986699,2018-04-24 05:38:00
334.93,31310.61429084405,2018-04-24 05:39:00
369.41,37809.045978664886,2018-04-24 05:40:00
316.64,32505.80948356927,2018-04-24 05:41:00
303.47,33155.14916451813,2018-04-24 05:42:00
334.81,31343.918816512796,2018-04-24 05:43:00
334.72,30740.09134061536,2018-04-24 05:44:00
340.7,33364.23973859125,2018-04-24 05:45:00
339.17,31429.492540049123,2018-04-24 05:46:00
297.37,28326.26440582596,2018-04-24 05:47:00
298.49,31325.361832250317,2018-04-24 05:48:00
365.4,37328.41403565061,2018-04-24 05:49:00
346.4,36346.02970082948,2018-04-24 05:50:00
345.58,34920.533989713105,2018-04-24 05:51:00
367.62,33044.731744325436,2018-04-24 05:52:00
355.99,33534.176589210496,2018-04-24 05:53:00
326.03,32015.16408566215,2018-04-24 05:54:00
286.46,31533.07208636853,2018-04-24 05:55:00
386.89,33835.28800494046,2018-04-24 05:56:00
335.14,36306.731940604725,2018-04-24 05:57:00
338.3,33445.73056573268,2018-04-24 05:58:00
361.61,44694.61628578222,2018-04-24 05:59:00
353.27,36326.53779707378,2018-04-24 06:00:00
333.2,37418.1546595521,2018-04-24 06:01:00
349.68,37270.169574647014,2018-04-24 06:02:00
340.75,37021.62272392712,2018-04-24 06:03:00
323.46,37141.867517700535,2018-04-24 06:04:00
331.7,30014.64062267708,2018-04-24 06:05:00
323.41,36866.43589759039,2018-04-24 06:06:00
274.07,27069.069841337157,2018-04-24 06:07:00
273.15,25206.923254574707,2018-04-24 06:08:00
344.61,32000.079139665937,2018-04-24 06:09:00
333.14,29069.385420655784,2018-04-24 06:10:00
334.74,34045.83827997322,2018-04-24 06:11:00
379.29,39968.50410800261,2018-04-24 06:12:00
377.77,42556.27573396797,2018-04-24 06:13:00
350.01,40135.695094964925,2018-04-24 06:14:00
319.07,27876.018980575165,2018-04-24 06:15:00
326.22,31358.434871264886,2018-04-24 06:16:00
323.9,31871.831745419528,2018-04-24 06:17:00
367.18,31628.49727917378,2018-04-24 06:18:00
323.84,36183.32140069391,2018-04-24 06:19:00
328.42,37650.78878480184,2018-04-24 06:20:00
326.1,24192.85164144033,2018-04-24 06:21:00
328.05,24115.970762791192,2018-04-24 06:22:00
330.51,33341.514220571065,2018-04-24 06:23:00
356.96,40748.76553883067,2018-04-24 06:24:00
391.05,44285.40030479781,2018-04-24 06:25:00
375.65,42716.7496595648,2018-04-24 06:26:00
344.98,31801.08283227877,2018-04-24 06:27:00
381.85,29446.99576656748,2018-04-24 06:28:00
347.56,39840.72687654355,2018-04-24 06:29:00
316.27,30540.92870992398,2018-04-24 06:30:00
278.63,28118.568447589707,2018-04-24 06:31:00
326.24,37315.62666072279,2018-04-24 06:32:00
309.58,28191.51186778049,2018-04-24 06:33:00
363.83,32999.095605871145,2018-04-24 06:34:00
341.13,27451.967014316768,2018-04-24 06:35:00
363.42,35385.66093232781,2018-04-24 06:36:00
344.61,30397.334352490765,2018-04-24 06:37:00
361.87,40126.83887725911,2018-04-24 06:38:00
341.85,35657.76639747459,2018-04-24 06:39:00
301.4,34876.296065338836,2018-04-24 06:40:00
350.03,35590.68933981938,2018-04-24 06:41:00
351.55,33913.83788710888,2018-04-24 06:42:00
286.69,30592.918127250472,2018-04-24 06:43:00
305.2,32077.76981752209,2018-04-24 06:44:00
342.4,29255.995808787142,2018-04-24 06:45:00
320.61,24939.68189976923,2018-04-24 06:46:00
282.96,26276.21196708749,2018-04-24 06:47:00
286.02,31378.001872936275,2018-04-24 06:48:00
299.25,28224.75247593828,2018-04-24 06:49:00
340.45,30095.43108925535,2018-04-24 06:50:00
315.99,32780.008407591704,2018-04-24 06:51:00
353.73,33534.1338418196,2018-04-24 06:52:00
328.26,34225.9917095788,2018-04-24 06:53:00
333.29,36046.16784351414,2018-04-24 06:54:00
320.46,37838.22858364816,2018-04-24 06:55:00
304.27,30535.66445236069,2018-04-24 06:56:00
355.32,30118.670548260157,2018-04-24 06:57:00
377.39,44814.802020548515,2018-04-24 06:58:00
290.89,30773.013794498453,2018-04-24 06:59:00
329.31,32176.615608754462,2018-04-24 07:00:00
356.52,35835.355507541535,2018-04-24 07:01:00
319.37,27844.77204474569,2018-04-24 07:02:00
318.28,33829.606824041824,2018-04-24 07:03:00
346.59,37052.47377776934,2018-04-24 07:04:00
